,dealer_card,dealer_hand,dealer_final_hand,payroll_0,hand_0,init_move_0,payroll_1,hand_1,init_move_1,payroll_2,hand_2,init_move_2,payroll_3,hand_3,init_move_3,hand_earnings_0,hand_result_0,hand_earnings_1,hand_result_1,hand_earnings_2,hand_result_2,hand_earnings_3,hand_result_3
0,NaN,NaN,NaN,500.0,NaN,NaN,500.0,NaN,NaN,500.0,NaN,NaN,500.0,NaN,NaN,,,,,,,,
1,T,17,17,510.0,H20,S,510.0,S20,S,510.0,S16,H,510.0,H14,H,10.0,W,10.0,W,10.0,W,10.0,W
2,2,11,24,520.0,99,P,520.0,H14,S,520.0,H14,S,520.0,H19,S,10.0,W,10.0,W,10.0,W,10.0,W
3,6,14,24,530.0,S20,S,530.0,H17,S,530.0,QQ,S,530.0,H12,S,10.0,W,10.0,W,10.0,W,10.0,W
4,2,6,21,520.0,H15,S,520.0,H15,S,520.0,S15,H,510.0,55,D,-10.0,L,-10.0,L,-10.0,L,-20.0,L
5,K,14,17,520.0,S17,H,530.0,H19,S,510.0,H15,H,510.0,H13,H,0.0,P,10.0,W,-10.0,L,0.0,P
6,K,15,21,510.0,H18,S,520.0,H15,H,500.0,H6,H,500.0,88,P,-10.0,L,-10.0,L,-10.0,L,-10.0,L
7,2,12,23,520.0,H18,S,530.0,H8,H,510.0,H13,S,510.0,H17,S,10.0,W,10.0,W,10.0,W,10.0,W
8,5,15,25,530.0,H19,S,540.0,H15,S,520.0,H13,S,520.0,H12,S,10.0,W,10.0,W,10.0,W,10.0,W
9,9,17,17,520.0,H14,H,520.0,H11,D,540.0,H11,D,500.0,H10,D,-10.0,L,-20.0,L,20.0,W,-20.0,L
10,K,20,20,510.0,H14,H,510.0,H8,H,530.0,S16,H,490.0,H16,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
11,A,21,,500.0,H9,,500.0,77,,520.0,H15,,480.0,H15,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
12,J,21,,490.0,H17,,490.0,H13,,510.0,H18,,470.0,H15,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
13,7,17,17,500.0,H14,H,490.0,H17,S,530.0,H10,D,460.0,H12,H,10.0,W,0.0,P,20.0,W,-10.0,L
14,A,13,18,500.0,H18,S,500.0,H11,H,540.0,H19,S,470.0,H12,H,0.0,P,10.0,W,10.0,W,10.0,W
15,2,5,26,510.0,H9,H,510.0,H13,S,550.0,AA,P,480.0,H20,S,10.0,W,10.0,W,10.0,W,10.0,W
16,8,13,23,530.0,H10,D,520.0,S17,H,540.0,H13,H,490.0,S20,S,20.0,W,10.0,W,-10.0,L,10.0,W
17,9,19,19,540.0,H12,H,510.0,S15,H,560.0,H11,D,500.0,H12,H,10.0,W,-10.0,L,20.0,W,10.0,W
18,7,11,21,530.0,H16,H,500.0,H18,S,550.0,S14,H,490.0,H9,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
19,7,12,22,540.0,H18,S,510.0,H13,H,570.0,H10,D,480.0,H16,H,10.0,W,10.0,W,20.0,W,-10.0,L
20,K,14,24,530.0,33,H,520.0,66,S,580.0,H9,H,490.0,H9,H,-10.0,L,10.0,W,10.0,W,10.0,W
21,A,12,19,520.0,H16,H,520.0,H19,S,570.0,H14,H,480.0,H14,H,-10.0,L,0.0,P,-10.0,L,-10.0,L
